# CREATED_DATE: 2018-03-19T18:54:52.943Z
# MODIFIED_DATE: 2021-10-01T22:11:18.694Z
# STATUS: FollowupFinished
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 5861; (15:09:16.09, -11:19:18.01)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: Foundation
# NAME: 2017erp
# RA: 227.311708333333
# DEC: -11.3342222222222
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-06-13T15:01:28Z
# REDSHIFT: 0.006174
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-03-08T15:00:00Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.0925
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: 
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: 0.012
# SLUG: 2017erp
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [11, 13, 19]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  57951.814	V	217134.467  1160.015	14.158  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57951.816	gp	160204.175  754.039	14.488  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57951.821	rp	203661.642  883.236	14.228  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57951.824	ip	128984.943  694.394	14.724  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57954.468	B	79779.599  942.794	15.245  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  57954.473	V	185394.988  4661.202	14.330  0.027	None	Siding_Spring_1m	Sinistro
OBS:	  57954.475	gp	125616.904  1375.464	14.752  0.012	None	Siding_Spring_1m	Sinistro
OBS:	  57954.479	rp	191338.633  1525.567	14.295  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57954.484	ip	133851.550  3878.673	14.684  0.031	None	Siding_Spring_1m	Sinistro
OBS:	  57957.419	B	62383.767  505.782	15.512  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57957.425	V	167260.592  941.061	14.441  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57957.426	gp	102409.156  538.738	14.974  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57957.432	rp	184942.949  963.661	14.332  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57957.435	ip	140157.396  813.244	14.634  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57960.807	B	47660.759  353.644	15.805  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57960.809	V	145743.735  742.644	14.591  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57960.814	gp	79827.639  390.055	15.244  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57960.816	rp	175140.369  727.435	14.391  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57960.819	ip	144277.086  656.949	14.602  0.005	None	Siding_Spring_1m	Sinistro
OBS:	  57963.836	B	39907.419  910.033	15.997  0.025	None	Siding_Spring_1m	Sinistro
OBS:	  57963.842	V	124622.323  1334.661	14.761  0.012	None	Siding_Spring_1m	Sinistro
OBS:	  57963.845	gp	64555.318  494.449	15.475  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57963.849	rp	160166.092  1137.775	14.489  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57963.852	ip	147163.366  979.602	14.581  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57971.065	B	25607.742  576.036	16.479  0.024	None	Siding_Spring_1m	Sinistro
OBS:	  57971.071	V	81139.277  699.339	15.227  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57971.072	gp	41799.766  452.365	15.947  0.012	None	Siding_Spring_1m	Sinistro
OBS:	  57971.078	rp	101519.277  686.855	14.983  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57971.080	ip	99015.748  717.968	15.010  0.008	None	Siding_Spring_1m	Sinistro
